Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
laureta.albi,Madrid,11,Sandalias Vagabond,Sandalias Vagabond talla 38. Están en perfecto estado. Su precio fuerte es de 75€ y ahora en rebajas las he visto a 60€.,9,38,Vagabond,Muy bueno,"25,00 €",1,0
csc2222,Coslada,2,Zapatos de tacón de Fosco,"Zapatos de piel de tacón de Fosco, están usados pero están bien.",237,38,Fosco,Muy bueno,"10,00 €",2,5
alejandra2898,,1,Falda entubada Stradivarius ,"Nuevo , sin uso, 
La falda es color verde turquesa , y a cada lado tiene dos líneas una de color azul y otra blanca .",77,S / 36 / 8,Stradivarius,Nuevo sin etiquetas,"5,00 €",10,4
aracelip_2,,2,Blusa rosa C&A ,"Blusa con pocos usos
",23,S / 36 / 8,C&A,Muy bueno,"3,00 €",24,0
yuanhang,Leganés,1,Air jordan 1 mid,Size 43 and 42,2023,43,Jordan,Nuevo con etiquetas,"145,00 €",8,168
igm1996,,1,Correas Xiaomi Band 3/4/5,3 correas NUEVAS compatibles con Xiaomi Mi Band 3/4/5.,361,,xiaomi,Nuevo con etiquetas,"5,00 €",11,7
cristian343412,Madrid,1,Excelentes zapatillas Jordan,"Unas zapatillas ideales para quellas personas que salen a diario y les gusta tener accesorios buenos y de calidad.

Importado desde Vietnam, es un material 100%resistente y duradero, con un gran diseño y comodidad.

Su uso fue solo de una semana y media aprox. (se nota principalmente dentro y sobre la zapatilla), es  vendido porque ocupa espacio necesario.

Si te llamó la atención, te invito a que te contactes, puedo bajar al el precio😃.
",236,39,Jordan,Muy bueno,"54,00 €",1,5
nico310300,Marbella,3,Bolso GUESS,Bolso original GUESS color piel gris,12,,Guess,Muy bueno,"12,00 €",3,0
dorota_amber,,1,Zapatillas DeSigual,"Zapatillas originales de Desigual, con caja. Usadas unas cuantas veces por quedarme un poco pequeñas. Muy bonito diseño con motivos folclóricos, materiales: textil y piel. ",91,38,Desigual,Muy bueno,"10,00 €",2,5
mercedesfortassin,,1,Vestido plateado Zara nuevo,"Vestido de Zara, color plateado, sin mangas con cuello alto. Muy sentados, hace una linda figura. Sin uso.",156,M / 38 / 10,Zara,Nuevo con etiquetas,"15,00 €",13,5
