id,title,brand_id,size_id,status_id,disposal_conditions,user_id
572155758,Sandalias con cuña beige,20453,58,1,4,39416794
572725070,Mochila senderismo,391549,None,1,4,39445312
580895634,Jordan 1 Mid Mixed Textures Yellow,2703,789,6,4,38563919
582169456,Gafas ray-ban ,242,None,6,4,39468770
572597562,Zapatos de tacón de Fosco,421,58,2,4,39435963
578344996,Blusa rosa C&A ,11425,3,2,4,39414886
573666834,Air jordan 1 mid,2703,786,6,4,39479803
579058964,Vestido plateado Zara nuevo,12,4,6,4,39463221
574762699,Zapatillas futbol sala,1775,605,6,4,39516790
580092849,"Ofertas, lotes, low cost",1,4,2,4,31738266
573472019,Top de tirantes,599,3,1,4,39472189
572922135,Vestido casual tulipanes de MANGO,15,2,2,6,39445761
571907350,"Plancha de pelo ghd, peluquería, mujer. ",109512,None,6,4,39414296
578950327,Jordan 1 Reverse Bred GS,2703,1198,6,4,25692846
568756991,Pantalón vaquero,140,102,1,4,39281476
580956170,Zapatillas Nike de fútbol sala,53,1196,2,4,39629147
581939454,M+RC Noir Reflective Hat,309853,None,1,4,39768034
579295546,Zapato de tacon de Massimo Dutti,579,58,2,4,29789602
578359305,Cartera Trafalgar Law,349484,None,4,6,39642804
577644599,Jersey Negro,793983,4,2,4,39454615
577899394,Zapatillas nike blancas ,53,790,2,4,39589278
578829899,Vendo North face chaqueta descendit,2319,209,3,4,39660953
580105930,Vestido ,140,2,1,4,37991557
576278706,Air Jordan 11 Retro Low Concord Bred,2703,786,6,4,39478827
581851594,falda de cuadros azul marina,11425,5,2,4,39439166
577375899,Bléiser Zara,12,207,2,4,39359317
579923856,Pantalón de flores de Stradivarius,41,5,2,4,39658051
574998622,Funko Pop Batman Red Son 312,295656,None,6,6,39528049
577087184,Air Force 1 ,53,780,3,4,39597801
577040614,Vestido floral con escote en la espalda y aberturas en los lados,3589,97,1,4,39595712
579520596,"bordado call me by your name, Harry Stiles",35735,97,6,4,39683933
580774850,Short estampado Zara,12,4,2,4,39588896
578533214,Vans Negras sin estrenar,139,58,6,4,39602745
581717815,Camisa de rayas de Zara,12,5,2,4,39519711
570826191,Chaquetón cuadros negros y blanco ,51,210,2,6,39370543
573564527,Sudadera Ellesse,787,207,6,4,39476533
576234162,Camiseta blanca de corazones azules zara girls,12,3,2,4,39568835
577604895,Sandalias de tacón de Stradivarius,41,58,6,4,39502927
580654008,Bolsas de almacenamiento de leche materna,225190,None,1,4,39637962
574478201,Zapatillas Nike,53,778,1,4,39507120
572499041,Vestido desigual ,491,4,2,6,39335276
575672029,Top granate ,1,4,6,4,39548842
578019247,Pantalones cortos chándal,105,4,2,4,39631881
573873910,Zapatillas Nike Air Max 200,53,784,6,4,39486109
576644142,DC Heaven - by Dennis Mcgrath nuevos sin estrenar,13155,788,6,4,39584465
571599668,Sandalias sin estrenar de MaryPaz,9461,59,6,4,39402666
